"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2022","Abilene Christian",70.9837,49,69.9114,44,101.622,183,102.99,182,95.5159,38,99.3574,105,3.63305,129
"2022","Air Force",63.428,347,63.1582,340,92.9406,334,96.0434,305,104.316,245,103.815,196,-7.77198,257
"2022","Akron",63.8375,344,62.0753,351,107.883,52,106.15,113,99.9619,131,102.661,166,3.48954,131
"2022","Alabama",73.3157,10,71.7154,12,109.137,37,116.098,14,104.116,238,98.7353,94,17.3624,25
"2022","Alabama A&M",68.3935,163,66.467,207,88.6957,354,87.5504,355,96.2221,47,101.051,134,-13.5004,317
"2022","Alabama St.",71.1919,45,69.3431,61,96.2452,289,97.2366,283,105.454,265,110.477,307,-13.2408,313
"2022","Albany",65.8294,292,65.036,283,93.9074,325,92.3164,342,99.6633,126,102.952,172,-10.6354,291
"2022","Alcorn St.",69.007,118,67.7143,127,95.9798,296,97.208,285,102.31,195,105.671,232,-8.46298,268
"2022","American",65.5956,303,64.8192,295,96.1552,291,94.5278,324,107.435,291,110.811,319,-16.283,332
"2022","Appalachian St.",64.7046,335,64.1012,325,100.223,209,101.719,199,99.9132,129,100.492,124,1.2266,156
"2022","Arizona",72.9192,13,72.1762,8,115.613,6,119.639,5,92.5195,14,92.4303,20,27.2091,2
"2022","Arizona St.",68.0421,177,67.1834,170,94.5235,314,101.401,208,97.2589,68,93.2382,23,8.1628,95
"2022","Arkansas",72.0273,28,70.5904,28,106.057,83,111.073,40,94.3928,28,92.0513,16,19.0214,20
"2022","Arkansas Pine Bluff",68.9177,125,67.0196,181,93.8129,326,97.9537,272,114.574,354,119.444,358,-21.4905,352
"2022","Arkansas St.",68.8801,128,68.2287,106,99.7506,220,100.214,234,99.1659,107,100.979,133,-0.765474,179
"2022","Army",69.2482,105,68.6797,87,98.9232,245,96.6056,297,102.792,210,107.815,271,-11.2094,297
"2022","Auburn",71.398,41,70.0214,40,108.347,47,113.602,24,92.1279,11,89.1486,8,24.453,10
"2022","Austin Peay",65.8389,291,64.5251,314,93.7918,328,95.1184,316,104.012,236,105.728,234,-10.6094,289
"2022","Ball St.",71.6843,35,69.842,46,103.01,154,101.804,198,107.399,289,109.826,298,-8.02252,263
"2022","Baylor",68.5501,149,67.208,169,111.13,22,117.876,9,92.7023,15,91.5553,14,26.3206,5
"2022","Bellarmine",63.3471,348,61.9096,353,107.226,62,108.229,82,110.806,335,110.612,312,-2.3828,199
"2022","Belmont",69.9206,83,68.7936,79,109.283,36,108.58,74,95.842,42,98.57,92,10.0104,82
"2022","Bethune Cookman",67.2119,227,65.6963,252,92.1625,340,93.2464,336,104.308,243,109.983,301,-16.737,334
"2022","Binghamton",67.2147,226,66.9844,182,97.1149,278,95.0257,317,103.701,227,105.913,238,-10.887,293
"2022","Boise St.",64.8935,332,64.6037,307,103.595,142,108.468,76,92.8731,17,92.0539,17,16.4141,26
"2022","Boston College",65.4551,311,64.835,294,100.854,202,104.014,159,102.202,192,100.536,126,3.47851,132
"2022","Boston University",65.2652,318,65.0831,279,107.334,60,105.752,123,102.268,193,109.117,287,-3.36498,210
"2022","Bowling Green",73.6989,7,72.6721,3,104.928,116,103.164,173,110.987,336,113.089,342,-9.92527,281
"2022","Bradley",67.671,198,67.1242,173,103.066,152,105.138,136,95.8266,41,96.7018,60,8.43595,92
"2022","Brown",69.1139,112,67.2508,164,100.073,215,100.484,224,102.166,191,103.386,183,-2.90194,205
"2022","Bryant",72.1918,24,72.181,7,105.275,106,104.21,154,100.608,145,105.161,218,-0.950742,183
"2022","Bucknell",68.2197,172,67.5386,137,101.767,181,100.075,237,113.829,352,117.291,356,-17.2158,337
"2022","Buffalo",72.1245,25,70.9458,20,108.744,42,107.272,92,101.935,184,103.614,190,3.65891,127
"2022","Butler",64.9435,329,63.7602,335,95.9444,297,102.58,189,103.394,222,98.8644,98,3.71548,126
"2022","BYU",69.258,104,67.7615,124,105.277,105,110.275,52,97.8053,77,96.4529,56,13.8222,51
"2022","Cal Baptist",68.9466,123,67.5301,139,99.7253,221,99.1917,251,99.7915,128,103.41,184,-4.21797,222
"2022","Cal Poly",65.0334,326,64.5462,313,92.0139,342,93.4215,333,103.17,216,105.671,233,-12.25,304
"2022","Cal St. Bakersfield",64.6115,336,64.2881,319,96.0004,295,98.0436,271,103.951,234,106.625,252,-8.58111,270
"2022","Cal St. Fullerton",66.5151,267,65.9931,239,103.807,135,104.656,144,99.3304,115,102.553,164,2.10331,149
"2022","Cal St. Northridge",65.2105,320,64.8542,293,91.5744,344,94.3909,327,107.987,306,110.121,303,-15.7301,331
"2022","California",64.9564,328,63.9634,329,96.3457,287,100.723,221,100.743,150,98.0923,82,2.63078,141
"2022","Campbell",63.1272,349,62.316,346,101.467,188,100.831,219,99.951,130,104.728,213,-3.89684,218
"2022","Canisius",69.2679,103,68.1184,112,96.3401,288,97.1466,286,103.928,232,105.776,235,-8.62954,271
